fold,trial,objective,boosting_type,learning_rate,num_leaves,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,min_child_weight,min_split_gain,reg_alpha,reg_lambda,Accuracy,MCC,PPV,NPV,Sensitivity,Specificity,AUC,OPM,n_Accuracy,n_MCC,n_PPV,n_NPV,n_Sensitivity,n_Specificity,n_OPM,TP,TN,FP,FN,n_TP,n_TN,n_FP,n_FN
4,77,binary,gbdt,0.004231666476406465,20,0.5,0.8,5,10,0.00889720575354708,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,302,214,55,49,302,279,72,49
0,78,binary,gbdt,0.004592739988950461,20,0.5,0.8,5,10,0.018207188157605428,0.0,0.7,0.1,0.86,0.71,0.86,0.85,0.89,0.81,0.92,0.62,0.85,0.7,0.82,0.88,0.89,0.81,0.62,314,217,51,38,314,285,67,38
4,31,binary,gbdt,0.003969387151341788,20,0.5,0.7,5,30,0.009280889025481394,0.2,0.7,0.1,0.83,0.66,0.84,0.82,0.87,0.79,0.92,0.57,0.83,0.66,0.8,0.85,0.87,0.79,0.57,304,212,57,47,304,277,74,47
4,78,binary,gbdt,0.004592739988950461,20,0.5,0.8,5,10,0.018207188157605428,0.0,0.7,0.1,0.83,0.66,0.85,0.82,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,303,214,55,48,303,279,72,48
0,79,binary,gbdt,0.004998100816270525,20,0.7,0.9,5,10,0.01589698441951077,0.0,0.7,0.1,0.84,0.68,0.85,0.83,0.88,0.8,0.92,0.59,0.84,0.68,0.81,0.87,0.88,0.8,0.59,309,214,54,43,309,281,71,43
4,18,binary,gbdt,0.004028224093400659,20,0.5,0.7,5,20,0.0029085345962004596,0.2,0.9999999999999999,0.1,0.83,0.66,0.84,0.82,0.87,0.79,0.92,0.57,0.83,0.66,0.81,0.86,0.87,0.79,0.57,304,213,56,47,304,278,73,47
4,53,binary,gbdt,0.003501930532023668,20,0.7,0.7,1,20,0.04893499657187613,0.1,0.1,0.1,0.83,0.65,0.84,0.81,0.86,0.79,0.92,0.56,0.82,0.65,0.8,0.85,0.86,0.79,0.56,301,212,57,50,301,277,74,50
0,68,binary,gbdt,0.004706345282918489,20,0.6,0.9,5,10,0.016081106827738244,0.0,0.7,0.1,0.85,0.69,0.85,0.84,0.88,0.8,0.92,0.6,0.84,0.68,0.82,0.87,0.88,0.8,0.6,310,215,53,42,310,282,70,42
4,22,binary,gbdt,0.004020740218246234,20,0.5,0.7,5,30,0.00320286591466317,0.2,0.7,0.1,0.83,0.66,0.85,0.82,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,303,214,55,48,303,279,72,48
0,59,binary,gbdt,0.004650573054787844,20,0.6,0.8,5,10,0.01159430431201425,0.1,0.7,0.1,0.85,0.69,0.86,0.83,0.88,0.81,0.92,0.6,0.84,0.69,0.82,0.87,0.88,0.81,0.6,309,216,52,43,309,284,68,43
4,25,binary,gbdt,0.003615976939713256,20,0.6,0.7,3,20,0.02060308574787291,0.1,0.4,0.4,0.84,0.66,0.85,0.82,0.87,0.8,0.92,0.58,0.83,0.66,0.81,0.86,0.87,0.79,0.57,304,214,55,47,304,279,72,47
4,59,binary,gbdt,0.004650573054787844,20,0.6,0.8,5,10,0.01159430431201425,0.1,0.7,0.1,0.83,0.65,0.85,0.81,0.85,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.85,0.8,0.57,300,215,54,51,300,281,70,51
0,60,binary,gbdt,0.004709864460071347,20,0.5,0.8,5,10,0.010812842340396445,0.0,0.7,0.1,0.85,0.7,0.86,0.85,0.89,0.81,0.92,0.62,0.85,0.7,0.82,0.88,0.89,0.81,0.61,313,217,51,39,313,285,67,39
4,24,binary,gbdt,0.0028014282030494335,15,0.5,0.7,5,30,0.007198881150818282,0.2,0.9999999999999999,0.1,0.84,0.67,0.84,0.83,0.87,0.79,0.92,0.58,0.83,0.67,0.81,0.86,0.87,0.79,0.58,307,212,57,44,307,277,74,44
4,60,binary,gbdt,0.004709864460071347,20,0.5,0.8,5,10,0.010812842340396445,0.0,0.7,0.1,0.83,0.66,0.85,0.82,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,303,214,55,48,303,279,72,48
0,61,binary,gbdt,0.004641382007433648,20,0.5,0.8,5,10,0.011596114258996915,0.0,0.7,0.1,0.85,0.7,0.86,0.85,0.89,0.81,0.92,0.62,0.85,0.7,0.82,0.88,0.89,0.81,0.62,314,216,52,38,314,284,68,38
4,61,binary,gbdt,0.004641382007433648,20,0.5,0.8,5,10,0.011596114258996915,0.0,0.7,0.1,0.83,0.66,0.84,0.82,0.86,0.79,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,303,213,56,48,303,278,73,48
4,23,binary,gbdt,0.0035932193108436728,20,0.5,0.6,5,30,0.014981598150719245,0.2,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,302,214,55,49,302,279,72,49
0,62,binary,gbdt,0.004663411310183621,20,0.5,0.8,5,10,0.011986403359589247,0.0,0.7,0.1,0.85,0.7,0.86,0.85,0.89,0.81,0.92,0.62,0.85,0.7,0.82,0.88,0.89,0.81,0.61,313,217,51,39,313,285,67,39
4,62,binary,gbdt,0.004663411310183621,20,0.5,0.8,5,10,0.011986403359589247,0.0,0.7,0.1,0.84,0.66,0.85,0.82,0.87,0.8,0.92,0.58,0.83,0.66,0.81,0.86,0.87,0.79,0.57,304,214,55,47,304,279,72,47
4,55,binary,gbdt,0.004472901903940401,20,0.6,0.8,5,20,0.02903715604960318,0.1,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,302,214,55,49,302,279,72,49
